"hs.temp","treat.para","wander","tot.n","prop.wand","emerge","prop.emerge","mongo","prop.mongo","expt","year","rear.temp.avg","rear.temp.var","hs.num","shock.stage","pop"
1,"np",26,26,1,0,0,0,0,"f_slhs",2018,25,10,0,"early","field"
1,"p",4,24,0.166666666666667,19,0.791666666666667,1,0.0416666666666667,"f_slhs",2018,25,10,0,"early","field"
2,"np",29,29,1,0,0,0,0,"f_slhs",2018,25,10,0,"early","field"
2,"p",8,31,0.258064516129032,0,0,23,0.741935483870968,"f_slhs",2018,25,10,0,"early","field"
3,"np",22,22,1,0,0,0,0,"f_slhs",2018,25,10,0,"early","field"
3,"p",7,19,0.368421052631579,0,0,12,0.631578947368421,"f_slhs",2018,25,10,0,"early","field"
4,"np",24,24,1,0,0,0,0,"f_slhs",2018,25,10,0,"early","field"
4,"p",9,22,0.409090909090909,0,0,13,0.590909090909091,"f_slhs",2018,25,10,0,"early","field"
5,"np",13,13,1,0,0,0,0,"f_slhs",2018,25,10,0,"early","field"
5,"p",2,3,0.666666666666667,0,0,1,0.333333333333333,"f_slhs",2018,25,10,0,"early","field"
1,"p",3,25,0.12,22,0.88,0,0,"l_ehs",2018,25,10,1,"early","lab"
2,"p",4,51,0.0784313725490196,36,0.705882352941177,11,0.215686274509804,"l_ehs",2018,25,10,2,"early","lab"
2,"p",5,50,0.1,26,0.52,19,0.38,"l_ehs",2018,25,10,3,"early","lab"
2,"p",6,51,0.117647058823529,7,0.137254901960784,38,0.745098039215686,"l_ehs",2018,25,10,4,"early","lab"
2,"p",10,54,0.185185185185185,4,0.0740740740740741,40,0.740740740740741,"l_ehs",2018,25,10,5,"early","lab"
3,"p",2,47,0.0425531914893617,32,0.680851063829787,13,0.276595744680851,"l_ehs",2018,25,10,2,"early","lab"
3,"p",6,48,0.125,3,0.0625,39,0.8125,"l_ehs",2018,25,10,3,"early","lab"
3,"p",3,49,0.0612244897959184,0,0,46,0.938775510204082,"l_ehs",2018,25,10,4,"early","lab"
3,"p",7,53,0.132075471698113,1,0.0188679245283019,45,0.849056603773585,"l_ehs",2018,25,10,5,"early","lab"
0,"p",1,38,0.0263157894736842,37,0.973684210526316,0,0,"l_rhs",2018,25,10,0,"control","lab"
42,"p",4,33,0.121212121212121,1,0.0303030303030303,28,0.848484848484849,"l_rhs",2018,25,10,3,"early","lab"
42,"p",4,63,0.0634920634920635,59,0.936507936507937,0,0,"l_rhs",2018,25,10,3,"mid","lab"
42,"p",4,77,0.051948051948052,68,0.883116883116883,5,0.0649350649350649,"l_rhs",2018,25,10,3,"late","lab"
45,"p",1,46,0.0217391304347826,45,0.978260869565217,0,0,"l_lhs",2018,28,0,0,"0","lab"
45,"p",1,38,0.0263157894736842,37,0.973684210526316,0,0,"l_lhs",2018,28,0,1,"hs.4","lab"
45,"p",3,40,0.075,36,0.9,0,0,"l_lhs",2018,28,0,1,"hs.5","lab"
45,"p",2,33,0.0606060606060606,31,0.939393939393939,0,0,"l_lhs",2018,28,10,0,"0","lab"
45,"p",1,36,0.0277777777777778,35,0.972222222222222,0,0,"l_lhs",2018,28,10,1,"hs.4","lab"
45,"p",1,43,0.0232558139534884,42,0.976744186046512,0,0,"l_lhs",2018,28,10,1,"hs.5","lab"
0,"np",35,35,1,0,0,0,0,"l_tv",2017,25,0,0,"none","lab"
0,"p",1,39,0.0256410256410256,38,0.974358974358974,0,0,"l_tv",2017,25,0,0,"none","lab"
0,"np",32,32,1,0,0,0,0,"l_tv",2017,25,10,0,"none","lab"
0,"p",2,40,0.05,38,0.95,0,0,"l_tv",2017,25,10,0,"none","lab"
0,"np",31,31,1,0,0,0,0,"l_tv",2017,28,0,0,"none","lab"
0,"p",1,31,0.032258064516129,30,0.967741935483871,0,0,"l_tv",2017,28,0,0,"none","lab"
0,"np",26,26,1,0,0,0,0,"l_tv",2017,28,10,0,"none","lab"
0,"p",3,27,0.111111111111111,24,0.888888888888889,0,0,"l_tv",2017,28,10,0,"none","lab"
0,"np",19,19,1,0,0,0,0,"l_tv",2017,30,0,0,"none","lab"
0,"p",2,37,0.0540540540540541,35,0.945945945945946,0,0,"l_tv",2017,30,0,0,"none","lab"
0,"np",22,22,1,0,0,0,0,"l_tv",2017,30,5,0,"none","lab"
0,"p",1,38,0.0263157894736842,37,0.973684210526316,0,0,"l_tv",2017,30,5,0,"none","lab"
0,"np",16,16,1,0,0,0,0,"l_tv",2017,30,10,0,"none","lab"
0,"p",4,41,0.0975609756097561,8,0.195121951219512,29,0.707317073170732,"l_tv",2017,30,10,0,"none","lab"
0,"np",41,41,1,0,0,0,0,"l_cpt",2016,20,0,0,"none","lab"
0,"p",3,51,0.0588235294117647,48,0.941176470588235,0,0,"l_cpt",2016,20,0,0,"none","lab"
0,"np",39,39,1,0,0,0,0,"l_cpt",2016,25,0,0,"none","lab"
0,"p",2,51,0.0392156862745098,46,0.901960784313726,3,0.0588235294117647,"l_cpt",2016,25,0,0,"none","lab"
0,"np",40,40,1,0,0,0,0,"l_cpt",2016,30,0,0,"none","lab"
0,"p",1,52,0.0192307692307692,50,0.961538461538462,1,0.0192307692307692,"l_cpt",2016,30,0,0,"none","lab"
